year_range_start,year_range_end,raw_row_label,n_years_observed,first_year_seen,last_year_seen,first_year_with_positive_value,present_in_q9,present_in_q11,source_csv_paths
2010,2015,All,6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Computer and information sciences, all",6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, aerospace, aeronautical and astronautical",6,2010,2023,2010,0,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, aerospace, aeronautical, and astronautical",6,2010,2024,2010,1,0,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, all",6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, bioengineering and biomedical engineering",6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, chemical",6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, civil",6,2010,2024,2010,1,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, electrical, electronic, and communications",6,2010,2024,2010,1,0,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
2010,2015,"Engineering, electrical, electronics, and communications",6,2010,2023,2010,0,1,higher_education_r_and_d_2010.zip;higher_education_r_and_d_2011.zip;higher_education_r_and_d_2012.zip;higher_education_r_and_d_2013.zip;higher_education_r_and_d_2014.zip;higher_education_r_and_d_2015.zip
