Fiscal Year,Institution Name,Federal and Nonfederal,Broad Field,R&D Expenditures by Broad Field and Fed and Nonfed Sources
2024,Duke U.,Federal,Life sciences,856722
2024,Duke U.,Federal,Physical sciences,28052
2024,Duke U.,Federal,Engineering,92243
2024,Duke U.,Nonfederal,Life sciences,463442
2024,Duke U.,Nonfederal,Physical sciences,3395
2024,Duke U.,Nonfederal,Engineering,27385
2024,Johns Hopkins U.,Federal,Life sciences,962169
2024,Johns Hopkins U.,Federal,Physical sciences,339814
2024,Johns Hopkins U.,Federal,Engineering,1645349
2024,Johns Hopkins U.,Nonfederal,Life sciences,385521
2024,Johns Hopkins U.,Nonfederal,Physical sciences,15979
2024,Johns Hopkins U.,Nonfederal,Engineering,66799
2024,Massachusetts Institute of Technology,Federal,Life sciences,92776
2024,Massachusetts Institute of Technology,Federal,Physical sciences,142218
2024,Massachusetts Institute of Technology,Federal,Engineering,240944
2024,Massachusetts Institute of Technology,Nonfederal,Life sciences,39394
2024,Massachusetts Institute of Technology,Nonfederal,Physical sciences,56747
2024,Massachusetts Institute of Technology,Nonfederal,Engineering,172945
2024,Ohio State U.,Federal,Life sciences,509298
2024,Ohio State U.,Federal,Physical sciences,37561
2024,Ohio State U.,Federal,Engineering,130390
2024,Ohio State U.,Nonfederal,Life sciences,564272
2024,Ohio State U.,Nonfederal,Physical sciences,11573
2024,Ohio State U.,Nonfederal,Engineering,130991
2024,Stanford U.,Federal,Life sciences,751119
2024,Stanford U.,Federal,Physical sciences,80304
2024,Stanford U.,Federal,Engineering,102868
2024,Stanford U.,Nonfederal,Life sciences,451267
2024,Stanford U.,Nonfederal,Physical sciences,23371
2024,Stanford U.,Nonfederal,Engineering,61635
2024,"U. California, Los Angeles",Federal,Life sciences,697811
2024,"U. California, Los Angeles",Federal,Physical sciences,56805
2024,"U. California, Los Angeles",Federal,Engineering,72994
2024,"U. California, Los Angeles",Nonfederal,Life sciences,629250
2024,"U. California, Los Angeles",Nonfederal,Physical sciences,21459
2024,"U. California, Los Angeles",Nonfederal,Engineering,55860
2024,"U. California, San Diego",Federal,Life sciences,685305
2024,"U. California, San Diego",Federal,Physical sciences,69123
2024,"U. California, San Diego",Federal,Engineering,161714
2024,"U. California, San Diego",Nonfederal,Life sciences,460352
2024,"U. California, San Diego",Nonfederal,Physical sciences,34730
2024,"U. California, San Diego",Nonfederal,Engineering,89058
2024,"U. California, San Francisco",Federal,Life sciences,988789
2024,"U. California, San Francisco",Federal,Physical sciences,47844
2024,"U. California, San Francisco",Nonfederal,Life sciences,1067105
2024,"U. California, San Francisco",Nonfederal,Physical sciences,23899
2024,U. Pennsylvania,Federal,Life sciences,832231
2024,U. Pennsylvania,Federal,Physical sciences,57553
2024,U. Pennsylvania,Federal,Engineering,63768
2024,U. Pennsylvania,Nonfederal,Life sciences,827654
2024,U. Pennsylvania,Nonfederal,Physical sciences,27082
2024,U. Pennsylvania,Nonfederal,Engineering,60758
2024,U. Wisconsin-Madison,Federal,Life sciences,554664
2024,U. Wisconsin-Madison,Federal,Physical sciences,76564
2024,U. Wisconsin-Madison,Federal,Engineering,108643
2024,U. Wisconsin-Madison,Nonfederal,Life sciences,635470
2024,U. Wisconsin-Madison,Nonfederal,Physical sciences,39829
2024,U. Wisconsin-Madison,Nonfederal,Engineering,86345
